	Brand
303	Anti-
304	Loud Records
305	Music on Vinyl
306	Pink Floyd Records
307	Blackened
308	!K7 SCPP
309	Diggers Factory
310	Billie Eilish – Happier Than Ever  Darkroom / Interscope Records Định dạng:2 x Vinyl
311	Brown Nước:US
312	EU Năm:2021 Thể loại:Pop Phong cách:Indie Pop Chất lượng: New  Tracklist: A1  Getting Older  A2  I Didn't Change My Number  A3  Billie Bossa Nova  A4  My Future  B5  Oxytocin  B6  Goldwing  B7  Lost Cause  B8  Halley's Comet  C9  Not My Responsibility  C10  Overheated  C11  Everybody Dies  C12  Your Power  D13  NDA  D14  Therefore I Am  D15  Happier Than Ever  D16  Male Fantasy
313	Factory
314	Death Row Records
315	Saint Records
316	Asylum Records – 0190296409981
317	Music On Vinyl Classical
318	Sony Music Entertainment
319	Charly Records
320	Lava
321	Clearaudio
322	52Hz
323	Disques Vogue
324	Republic Records – B0034659-01
325	Cleopatra
326	Marvel Studios
327	Darkroom
328	Mmm...Records
329	WaxTime In Color
330	Hãng đĩa: Island Records
331	Rolling Stones Records
332	Bellevue Publishing Uk Ltd
333	Bellevue Publishing
334	Proper Records
335	Bobolink
336	Sour Mash
337	Coda Records Ltd
338	Dark Skies Association
339	Night School
340	IF Music
341	Lanquidity Records
342	MJJ Production
343	Kitsuné Music
344	Cooperative Music
345	Method Records
346	Young Money Entertainment
347	Cash Money Records
348	The [R]evolve Group
349	EastWest
350	Labels
351	S.M. Entertainment
352	Odd Future Recorda
353	Capital Records
354	U OK?
355	777 records
356	Raymond Braun Media Group
357	Zomba Label Group
358	The Null Corporation
359	Spanish Prayers
360	Fat Possum Records
361	Sire
362	Merge Records
363	Panegyric Recordings
364	Mute Records Ltd.
365	Bad Seed Ltd.
366	Temporary Residence Limited
367	Favorite Gentlemen
368	Loma Vista
369	Stones Throw Records
370	OVO Sound
371	Beatnik
372	July Records
373	Aural Apothecary Records
374	Asthmatic Kitty Records
375	Fader Label
376	Good Buddy
377	A Band Apart
378	Maverick
379	DTA Records
380	Cactus Jack
381	Bad Boy Entertainment
382	Vinyl Passion
383	Yin Yang Media
384	Cult Records
385	Perpetual Novice
386	Bad Vibes Forever
387	Secretly Canadian
388	Epitaph
389	Experience Hendrix
390	Tiny Evil
391	Wax Love
392	London Records
393	Blackened Recordings
394	Tamla Motown
395	Cabin 24 Records
396	Ume
397	Spiral Records
398	Virgin EMI Records
399	Dark Horse Records
400	Liberation Hall
401	The Compassionate Arts
402	Amaru Entertainment
403	IslandRecords
404	Streamline Records
405	Konlive
406	Independiente
407	Stun Volume
408	BMG Rights Management
409	Harvest
410	Warner Bros. -Seven Arts Records
411	We Are Vinyl
412	Lilith
413	Reaction
414	Immortal Records
415	Twin/Tone Records
416	Sanctuary/BMG
417	Jeepster Recordings
418	Not On Label (Rex Orange County Self-released)
419	Silva Screen
420	Fiction Records Ltd.
421	Music Faces
422	Bad Boy
423	Getting Out Our Dreams – none
424	Def Jam Recordings – none
425	Decca Records France
426	Universal Music France
427	Mobile Fidelity Sound Lab
428	Sony Music Commercial Music Group
429	Monkeywrench Records
430	Universal Island Records
431	Zoo Records
432	Motown
433	Cat-O-Log Records
434	Nothing Records
435	Doxy
436	Big Legal Mess Records
437	Blue Sky
438	Ninja Tune
439	See･Saw
440	Panam
441	Universal Music Enterprises
442	Time Life Music
443	Oh Boy Records
444	Grateful Dead Productions
445	Prolifica Inc.
446	[PIAS]
447	Cinepoly
448	Grunt
449	Studio Ghibli Records
450	Pony Canyon
451	Ono Music
452	Clean Slate
453	Hallmark Records
454	MBK Entertainment
455	Tatemae Recordings
456	A&amp;M Records A&amp;M Records
457	Polydor / ‎Interscope Records ‎
458	Musical Heritage Society
459	Albert Productions
460	Pixar
461	GroundUP Music
462	Smithsonian Folkways Recordings
463	Cooking Vinyl
464	Sugar
465	Almud
466	Capitol RecordS
467	Reprise Records ‎
468	Saddle Creek
469	Primo
470	EMI-Capitol Music Special Markets
471	Sublime Frequencies
472	DefSTAR Records
473	Dol
474	Fonograf
475	Bella Union
476	Universal
477	Metro Select
478	Pelagic Records
479	MMG Inc.
480	Camden
481	Innocent
482	Sony BMG Music Entertainment
483	Heffa
484	14th Floor Records
485	679
486	143 Records
487	Beyond The Groove
488	Blue Note 80 Vinyl Reissue Series
489	Impulse!
490	Blue Note – 7745061
491	Fo' Reel Entertainment
492	Capitol Nashville
493	Liberty
494	Uzi Suicide
495	Goodbye Records
496	Invada
497	Lakeshore Records
498	Fox Music
499	Music Brokers
500	Hãng;Decca
501	Nettwerk America
502	Creation Records
503	Helter Skelter
504	Taste Media
505	Warner Strategic Marketing
506	Taste Media Limited
507	Mushroom
508	Victory Records
509	Rough Trade
510	Dolchess
511	Europe
512	Warner Music Japan Inc.
513	Supercolour Records
514	Atlantic Records
515	Atlantic Records UK
516	Label: Interscope Records
517	Not On Label
518	Modular Recording
519	Nice Life
520	NPG Records
521	The Prince Estate
522	Anchor Point Records
523	Wolf Tone
524	Sony Records Int'l
525	Priority Records. Ruthless Records
526	Sony Musc
527	HW&amp;W Recordings
528	Transversales Disques
529	Asound/Bubbles
530	We Three
531	BGP Records
532	ZYX Music
533	Relapse Records
534	Lastafroz Production
535	Discollectors Production
536	Saigon Supersound
537	Whispering Pines Studios
538	UMC – 5389805
539	Dog Show Records
540	777 Music
541	Rough Trade Records‎
542	Invada Records
543	Sony Pictures Classics
544	STX Recording
545	Warner Music UK Ltd.
546	YG Entertainment
547	HãngLabel:Warner Records
548	REMember Music
549	MCA Nashville
550	Epic – 88985375421
551	Flightless
552	One Little Indian
553	Skint
554	Captured Tracks
555	State Of Art
556	Universal Music Group New Zealand
557	Source
558	Island Def Jam Music Group
559	Sooper Records
560	Dooroodooroo Artist Company
561	Golden Child Recordings
562	Tribe Records
563	Hydeout Productions
564	Syco Music
565	Darkroom / Interscope Records
566	DALI
567	Manger Products
568	World Circuit
569	Sony Classical‎
570	Mute ‎/ Sony Music
571	WaxTime ‎
